crc,take_type,allo_block,wap,max_rate_wap,in_sw_allo,sd1_150,sd1_30,sd1_7,rate_ratio
CRC172416,Take Groundwater,A,M35/11382,4.9,True,0.0,0.0,0.0,0.035025017869907075
CRC172640,Take Groundwater,A,M35/7327,10.0,True,62.0,27.0,2.0,1.0
CRC172663,Take Surface Water,A,M35/11224,91.0,True,100.0,100.0,100.0,1.0
CRC172811,Take Surface Water,A,L35/0740,180.0,True,100.0,100.0,100.0,1.0
CRC172863,Take Groundwater,A,M35/11919,65.0,True,74.0,45.0,12.0,0.4
CRC172863,Take Groundwater,A,M35/11920,53.0,True,93.0,84.0,67.0,0.3261538461538461
CRC172863,Take Groundwater,A,M35/11921,44.5,True,51.0,14.0,0.0,0.27384615384615385
CRC172924,Take Surface Water,A,L35/1090,3360.0,True,100.0,100.0,100.0,1.0
CRC172924,Take Surface Water,B,L35/1090,3360.0,True,100.0,100.0,100.0,1.0
CRC173111,Take Surface Water,A,M35/11679,16.5,True,100.0,100.0,100.0,0.5
CRC173111,Take Surface Water,A,M35/11681,16.5,True,100.0,100.0,100.0,0.5
CRC173378,Take Surface Water,B,L35/0855,85.0,True,100.0,100.0,100.0,0.6296296296296297
CRC173378,Take Surface Water,B,L35/0906,50.0,True,100.0,100.0,100.0,0.37037037037037035
CRC173677,Take Groundwater,A,M35/2477,1.0,True,99.0,98.0,96.0,1.0
CRC173744,Take Surface Water,A,L35/0855,90.0,True,100.0,100.0,100.0,0.5106382978723404
CRC173744,Take Surface Water,A,L35/0906,86.25,True,100.0,100.0,100.0,0.48936170212765956
CRC173807,Take Groundwater,A,M35/11446,18.5,True,0.0,0.0,0.0,0.5
CRC173807,Take Groundwater,A,M35/18113,18.5,True,0.0,0.0,0.0,0.5
CRC173829,Take Groundwater,A,BW23/0077,30.0,True,0.0,0.0,0.0,0.5
CRC173829,Take Groundwater,A,BW23/0381,30.0,True,84.0,66.0,36.0,0.5
CRC174185,Take Groundwater,A,BW23/0409,100.0,True,0.0,0.0,0.0,0.25
CRC174185,Take Groundwater,A,M35/11424,75.0,True,0.0,0.0,0.0,0.1875
CRC174185,Take Groundwater,A,M35/11425,75.0,True,0.0,0.0,0.0,0.1875
CRC174185,Take Groundwater,A,M35/11426,75.0,True,0.0,0.0,0.0,0.1875
CRC174185,Take Groundwater,A,M35/11427,75.0,True,0.0,0.0,0.0,0.1875
CRC175118,Take Surface Water,B,BW22/0092,2000.0,True,100.0,100.0,100.0,0.07692307692307693
CRC175118,Take Surface Water,B,L35/1145,24000.0,True,100.0,100.0,100.0,0.9230769230769231
CRC175976,Take Groundwater,A,M35/7854,14.0,True,69.0,37.0,6.0,1.0
CRC176065,Take Groundwater,A,M35/10725,21.0,True,33.0,3.0,0.0,1.0
CRC176085,Take Groundwater,A,L35/0842,51.0,True,100.0,100.0,100.0,1.0
CRC176221,Take Groundwater,A,M35/7065,20.0,True,64.0,29.0,3.0,1.0
CRC176313,Take Groundwater,A,L35/0951,10.0,True,0.0,0.0,0.0,0.45454545454545453
CRC176313,Take Groundwater,A,L35/1065,12.0,True,47.0,11.0,0.0,0.5454545454545454
CRC176521,Take Surface Water,A,L35/0906,49.0,True,100.0,100.0,100.0,1.0
CRC180215,Take Surface Water,A,K35/0031,19.6,True,100.0,100.0,100.0,1.0
CRC180669,Take Groundwater,A,BW22/0023,40.0,True,0.0,0.0,0.0,0.16
CRC180669,Take Groundwater,A,BW22/0087,20.0,True,0.0,0.0,0.0,0.08
CRC180669,Take Groundwater,A,L35/0794,70.0,True,0.0,0.0,0.0,0.28
CRC180669,Take Groundwater,A,L35/0844,70.0,True,0.0,0.0,0.0,0.28
CRC180669,Take Groundwater,A,L35/0864,50.0,True,0.0,0.0,0.0,0.2
CRC180978,Take Surface Water,A,BV20/5001,160.0,True,100.0,100.0,100.0,1.0
CRC181513,Take Groundwater,A,L35/0992,9.0,True,0.0,0.0,0.0,0.2647058823529412
CRC181513,Take Groundwater,A,L35/1074,25.0,True,0.0,0.0,0.0,0.7352941176470589
CRC181524,Take Groundwater,A,BW23/0083,60.0,True,0.0,0.0,0.0,0.32432432432432434
CRC181524,Take Groundwater,A,M35/17628,60.0,True,49.0,13.0,0.0,0.32432432432432434
CRC181524,Take Groundwater,A,M35/17629,60.0,True,30.0,2.0,0.0,0.32432432432432434
CRC181524,Take Groundwater,A,M35/18858,5.0,True,0.0,0.0,0.0,0.02702702702702703
CRC181635,Take Groundwater,A,BW22/0071,50.0,True,0.0,0.0,0.0,0.3333333333333333
CRC181635,Take Groundwater,A,BW22/0089,100.0,True,0.0,0.0,0.0,0.6666666666666666
CRC181757,Take Groundwater,A,BW22/0023,40.0,True,0.0,0.0,0.0,0.14285714285714285
CRC181757,Take Groundwater,A,BW22/0069,30.0,True,0.0,0.0,0.0,0.10714285714285714
CRC181757,Take Groundwater,A,BW22/0087,20.0,True,0.0,0.0,0.0,0.07142857142857142
CRC181757,Take Groundwater,A,L35/0794,70.0,True,0.0,0.0,0.0,0.25
CRC181757,Take Groundwater,A,L35/0844,70.0,True,0.0,0.0,0.0,0.25
CRC181757,Take Groundwater,A,L35/0864,50.0,True,0.0,0.0,0.0,0.17857142857142858
CRC181791,Take Surface Water,A,M35/11021,23.0,True,100.0,100.0,100.0,1.0
CRC182085,Take Groundwater,A,M35/11906,33.5,True,70.0,40.0,8.0,0.29130434782608694
CRC182085,Take Groundwater,A,M35/11970,33.5,True,70.0,39.0,7.0,0.29130434782608694
CRC182085,Take Groundwater,A,M35/18477,48.0,True,54.0,17.0,0.0,0.41739130434782606
CRC182092,Take Groundwater,A,L35/0702,70.0,True,0.0,0.0,0.0,0.18181818181818182
CRC182092,Take Groundwater,A,L35/0939,75.0,True,0.0,0.0,0.0,0.19480519480519481
CRC182092,Take Groundwater,A,L35/0940,75.0,True,0.0,0.0,0.0,0.19480519480519481
CRC182092,Take Groundwater,A,L35/1071,90.0,True,0.0,0.0,0.0,0.23376623376623376
CRC182092,Take Groundwater,A,L35/1072,75.0,True,0.0,0.0,0.0,0.19480519480519481
CRC182390,Take Groundwater,A,L35/0991,90.0,True,0.0,0.0,0.0,1.0
CRC182484,Take Groundwater,A,M35/10258,3.0,True,57.0,21.0,1.0,1.0
CRC182545,Take Groundwater,A,BW23/0401,20.0,True,0.0,0.0,0.0,1.0
CRC182594,Take Surface Water,A,BW24/0410,20.0,True,100.0,100.0,100.0,1.0
CRC182725,Take Groundwater,A,L35/1011,125.0,True,0.0,0.0,0.0,0.5
CRC182725,Take Groundwater,A,L35/1012,125.0,True,0.0,0.0,0.0,0.5
CRC182780,Take Groundwater,A,L35/1080,100.0,True,100.0,100.0,100.0,1.0
CRC182809,Take Groundwater,A,BW23/0464,80.0,True,0.0,0.0,0.0,0.31620553359683795
CRC182809,Take Groundwater,A,M35/9027,53.0,True,77.0,52.0,18.0,0.20948616600790515
CRC182809,Take Groundwater,A,M35/9028,53.0,True,72.0,42.0,9.0,0.20948616600790515
CRC182809,Take Groundwater,A,M35/9029,40.0,True,56.0,19.0,1.0,0.15810276679841898
CRC182809,Take Groundwater,A,M35/9030,27.0,True,64.0,29.0,3.0,0.1067193675889328
CRC182995,Take Groundwater,A,M35/12018,65.0,True,0.0,0.0,0.0,1.0
CRC183143,Take Groundwater,A,BW22/0088,30.0,True,0.0,0.0,0.0,1.0
CRC183203,Take Groundwater,A,BW24/0352,27.0,True,73.0,44.0,11.0,1.0
CRC183253,Take Groundwater,A,L35/0804,80.0,True,0.0,0.0,0.0,0.5
CRC183253,Take Groundwater,A,L35/0950,80.0,True,0.0,0.0,0.0,0.5
CRC183360,Take Groundwater,A,L35/0989,20.0,True,80.0,57.0,24.0,0.18518518518518517
CRC183360,Take Groundwater,A,L35/1043,19.0,True,0.0,0.0,0.0,0.17592592592592593
CRC183360,Take Groundwater,A,L35/1044,34.0,True,92.0,83.0,66.0,0.3148148148148148
CRC183360,Take Groundwater,A,L35/1045,35.0,True,95.0,88.0,75.0,0.32407407407407407
CRC183389,Take Groundwater,A,L35/0976,4.9,True,90.0,79.0,57.0,1.0
CRC183482,Take Groundwater,A,BX23/0838,6.0,True,25.0,1.0,0.0,0.6451612903225806
CRC183482,Take Groundwater,A,M35/6093,3.3,True,36.0,4.0,0.0,0.3548387096774193
CRC183483,Take Groundwater,A,M35/1746,11.3,True,25.0,1.0,0.0,1.0
CRC184109,Take Surface Water,B,L35/0580,187.0,True,100.0,100.0,100.0,0.5
CRC184109,Take Surface Water,B,L35/0978,187.0,True,100.0,100.0,100.0,0.5
CRC184110,Take Surface Water,A,L35/0580,109.0,True,100.0,100.0,100.0,1.0
CRC184110,Take Surface Water,B,L35/0580,109.0,True,100.0,100.0,100.0,1.0
CRC185204,Take Groundwater,A,M35/9902,40.0,True,62.0,27.0,2.0,1.0
CRC185544,Take Groundwater,A,M35/11857,4.0,True,0.0,0.0,0.0,1.0
CRC185695,Take Groundwater,A,M35/12029,78.0,True,0.0,0.0,0.0,0.6610169491525424
CRC185695,Take Groundwater,A,M35/9344,40.0,True,72.0,43.0,10.0,0.3389830508474576
CRC185710,Take Groundwater,A,BW22/0023,30.0,True,0.0,0.0,0.0,0.14285714285714285
CRC185710,Take Groundwater,A,BW22/0069,30.0,True,0.0,0.0,0.0,0.14285714285714285
CRC185710,Take Groundwater,A,BW22/0087,20.0,True,0.0,0.0,0.0,0.09523809523809523
CRC185710,Take Groundwater,A,L35/0684,50.0,True,0.0,0.0,0.0,0.23809523809523808
CRC185710,Take Groundwater,A,L35/0794,40.0,True,0.0,0.0,0.0,0.19047619047619047
CRC185710,Take Groundwater,A,L35/0844,40.0,True,0.0,0.0,0.0,0.19047619047619047
