crc,take_type,allo_block,wap,max_rate_wap,in_sw_allo,sd1_150,sd1_30,sd1_7,rate_ratio
CRC980272.1,Take Groundwater,A,M35/4875,6.8,True,82.0,60.0,28.0,1.0
CRC981333.7,Take Surface Water,A,L35/1104,40.0,True,100.0,100.0,100.0,1.0
CRC981363.2,Take Surface Water,A,L35/0927,34.0,True,100.0,100.0,100.0,1.0
CRC981509.1,Take Groundwater,A,M35/8008,0.6,True,83.0,63.0,31.0,1.0
CRC981719,Take Groundwater,A,M35/8034,10.0,True,0.0,0.0,0.0,1.0
CRC990391,Take Surface Water,A,K34/0016,2.5,True,100.0,100.0,100.0,1.0
CRC990424.1,Take Groundwater,A,M35/0199,25.0,True,95.0,89.0,78.0,1.0
CRC990473,Take Surface Water,A,M35/10994,10.6,True,100.0,100.0,100.0,1.0
CRC990579.3,Take Surface Water,A,L35/0595,91.0,True,100.0,100.0,100.0,0.510662177328844
CRC990579.3,Take Surface Water,A,L35/0906,87.2,True,100.0,100.0,100.0,0.48933782267115605
CRC990698.1,Take Surface Water,A,L35/0929,23.0,True,100.0,100.0,100.0,1.0
CRC990770,Take Groundwater,A,M35/1247,8.0,True,99.0,98.0,96.0,1.0
CRC990771,Take Groundwater,A,M35/3409,20.0,True,97.0,94.0,87.0,1.0
CRC990926.1,Take Groundwater,A,L35/0327,23.0,True,94.0,86.0,71.0,0.5
CRC990926.1,Take Groundwater,A,L35/0576,23.0,True,99.0,97.0,95.0,0.5
CRC990927,Take Groundwater,A,M35/0181,11.0,False,80.0,57.0,24.0,1.0
CRC990931.1,Take Surface Water,A,L35/0928,60.0,True,100.0,100.0,100.0,1.0
CRC990958.1,Take Surface Water,A,L35/0908,35.0,True,100.0,100.0,100.0,0.5
CRC990958.1,Take Surface Water,A,L35/0909,35.0,True,100.0,100.0,100.0,0.5
CRC991053,Take Surface Water,A,K34/0027,13.8,True,100.0,100.0,100.0,1.0
CRC991057,Take Surface Water,A,K33/0001,11.0,True,100.0,100.0,100.0,1.0
CRC991058,Take Surface Water,AA,L35/0933,10.5,True,100.0,100.0,100.0,1.0
CRC991363,Take Surface Water,A,K34/0025,0.18,True,100.0,100.0,100.0,0.5
CRC991363,Take Surface Water,A,K34/0026,0.18,True,100.0,100.0,100.0,0.5
CRC991423,Take Groundwater,A,L35/0176,85.0,True,100.0,100.0,100.0,0.3333333333333333
CRC991423,Take Groundwater,A,L35/0245,85.0,True,100.0,100.0,100.0,0.3333333333333333
CRC991423,Take Groundwater,A,L35/0534,85.0,True,100.0,100.0,100.0,0.3333333333333333
CRC991592,Take Surface Water,A,K33/0002,1.0,True,100.0,100.0,100.0,1.0
CRC991616,Take Groundwater,A,M35/1815,19.0,False,92.0,83.0,65.0,0.5
CRC991616,Take Groundwater,A,M35/5212,19.0,False,98.0,96.0,92.0,0.5
CRC991691,Take Groundwater,A,L35/0279,2.5,False,100.0,100.0,100.0,1.0
CRC991826,Take Surface Water,A,M35/11225,30.0,True,100.0,100.0,100.0,1.0
